benchmark,run,result
recfact,baseline,missing
recfact,localopt,missing
sum-bits,baseline,missing
sum-bits,localopt,missing
totient,baseline,missing
totient,localopt,missing
euclid,baseline,missing
euclid,localopt,missing
orders,baseline,missing
orders,localopt,missing
pythagorean_triple,baseline,missing
pythagorean_triple,localopt,missing
binary-fmt,baseline,missing
binary-fmt,localopt,missing
bitwise-ops,baseline,missing
bitwise-ops,localopt,missing
bitshift,baseline,missing
bitshift,localopt,missing
armstrong,baseline,missing
armstrong,localopt,missing
mod_inv,baseline,missing
mod_inv,localopt,missing
pascals-row,baseline,missing
pascals-row,localopt,missing
dot-product,baseline,missing
dot-product,localopt,missing
factors,baseline,missing
factors,localopt,missing
loopfact,baseline,missing
loopfact,localopt,missing
sum-sq-diff,baseline,missing
sum-sq-diff,localopt,missing
fact,baseline,missing
fact,localopt,missing
palindrome,baseline,missing
palindrome,localopt,missing
reverse,baseline,missing
reverse,localopt,missing
ackermann,baseline,missing
ackermann,localopt,missing
up-arrow,baseline,missing
up-arrow,localopt,missing
fizz-buzz,baseline,missing
fizz-buzz,localopt,missing
quadratic,baseline,missing
quadratic,localopt,missing
collatz,baseline,missing
collatz,localopt,missing
catalan,baseline,missing
catalan,localopt,missing
hanoi,baseline,missing
hanoi,localopt,missing
primes-between,baseline,missing
primes-between,localopt,missing
relative-primes,baseline,missing
relative-primes,localopt,missing
perfect,baseline,missing
perfect,localopt,missing
sum-divisors,baseline,missing
sum-divisors,localopt,missing
digital-root,baseline,missing
digital-root,localopt,missing
gcd,baseline,missing
gcd,localopt,missing
check-primes,baseline,missing
check-primes,localopt,missing
rectangles-area-difference,baseline,missing
rectangles-area-difference,localopt,missing
